ITEM_NM,SUBITEM_NM,CTPRVN_NM,SIGNGU_NM,CLSSRM_NM,TROBL_TY_NM,OPER_TIME_CN,CLSSRM_INTRCN_CN,RCRIT_PD,OPER_PD
"검도",,경기,가평군,(대장체)가평군 검도 교실,지적장애,화 10:00~11:30,,20210401~20210730,20210501~20211130
"검도",,대전,대덕구,대덕구장애인종합복지관 검도교실,지적장애,화 (10:30~11:30),,20210406~20211026,20210406~20211026
"검도",,서울,강동구,2021 서울시 장애인어울림 검도교실(서울특별시장애인검도회),기타장애,매주 토 11:00-12:00,,20210201~20210331,20210501~20211030
"검도",,대전,동구,동구아름다운복지관 검도교실,지적장애,금 14:30~15:30,,20210402~20211105,20210402~20211105
"검도",,경기,가평군,(대장체)가평군 검도클럽,지적장애,금 10:00~11:30,,20210401~20210730,20210501~20211130
"검도",,서울,금천구,2021 금천구 지적장애인 검도교실(금천구장애인체육회),지적장애,매주 토 11:10-12:10,,20210201~20210430,20210401~20210930
"검도",,대전,동구,2021 대전광역시장애인검도협회 검도교실,지적장애,수 10:30~12:00,,20210407~20211117,20210407~20211117
"골볼",,광주,서구,(기금) 2021 시각장애인 골볼교실(시각스포츠연맹),시각장애,매 주 일 13:00~17:00,광주 시각장애인 골볼교실입니다.,20210329~20210402,20210411~20210905
"골볼",,경남,창원시마산합포구,경남시각장애인 골볼 생활체육교실,시각장애,월 14:00~16:00,,20210101~20211231,20210101~20211231
"골볼",,광주,서구,골볼교실개인(시각-남)-심광선지도자,시각장애,"매주 수,일(17:00~19:00)",,20210101~20210131,20210102~20211222
"골볼",,전남,여수시,2021 전남 여수시 장애인생활체육 골볼교실,시각장애,13:00~15:00,2021 전남 여수시 장애인생활체육 골볼교실,20210415~20211028,20210415~20211028
"골볼",,광주,서구,골볼교실개인(시각-여)-심광선지도자,시각장애,"매주 월,일(17:30~19:30)",,20210101~20210131,20210201~20211220
"기타",기타,전남,여수시,2021 전남 여수시 장애인생활체육 수중운동교실,지체장애,13:50~14:50,2021 전남 여수시 장애인생활체육 수중운동교실,20210301~20210330,20210407~20211117
"기타",기타,대구,달서구,2021년 신나고!건강하고!고고한궁교실(달구벌복지관),지적장애,"매주 수, 목 14:00~15:00",장애유형 차별하지 않습니다. 남녀 차별하지 않습니다. 건강한 마음가짐만 있으시면 언제든 참석가능합니다. 신나고! 건강한! 한궁교실입니다.,20210308~20210402,20210405~20211029
"기타",기타,대구,달서구,2021년 대구성인발달장애인무용생활체육교실(파릇무용단),지적장애,매주 목 10:00~12:00,성인발달장애인의 신체움직임을 통한 비만예방 및 자세교정에 큰 도움을 주고자 신체움직임을 통한 기초체력 향상 및 리듬감 향상을 목표로 무용(발레)교실을 운영하고자 한다.,20210204~20210228,20210506~20211028
"기타",뉴스포츠,대구,동구,2021년 대구동촌뉴스포츠발달장애인생활체육교실(동촌센터),지적장애,매주 금 13:00~15:00,참여성을 강조한 새로운 형식의 스포츠로 이용자들이 쉽게 즐길 수 있도록 기존 종목의 규칙을 단순하게 만들어 다양한 스포츠 활동을 하여 이용 장애인의 신체 기능 향상을 돕는다.,20210201~20210228,20210405~20210924
"기타",기타,대구,달서구,2021년 대구잽잽~원!투!복싱교실(보담센터),지적장애,"1,2,3주 화 10:00~12:00",어느 누구나 즐길 수 있고 참여할 수 있는 복싱교실을 통해 참여대상자의 신체적 및 심리적 건강을 도모하고자 함.,20210202~20210228,20210401~20211031
"기타",풋살,대구,달서구,2021년 대구나누리풋살생활체육교실,지적장애,수정,"풋살을 배우며 기초체력을 증진하고, 풋살의 경기규칙을 익힘",20210201~20210205,20210401~20211031
"기타",휠체어럭비,서울,광진구,2021 광진구 지체장애 럭비교실(서울특별시장애인럭비협회),지체장애,월 수 토14:00 ~ 17:00,,20210201~20210331,20210401~20210930
"기타",뉴스포츠,대구,동구,2021년 대구더불어뉴스포츠생활체육교실(더불어센터),지적장애,요일누락 10:00~11:00,생활체육활동을 통해 스트레스를 해소하고 활력소를 제공하여 장애인의 건강증진과 효율적으로 여가시간을 활용하고자 한다.,20210201~20210401,20210407~20211020
"기타",기타,대구,수성구,2021년 시니어한궁교실(대구장복),지체장애,0,대구장애인종합복지관 시니어한궁교실,20210201~20210228,20210401~20211030
"기타",기타,대구,수성구,2021년 이재심의 시니어생활체육교실,지체장애,매주 화,대구시장애인체육회 직접사업,20210101~20210201,20210401~20211031
"기타",요가,대구,북구,2021년 대구장애인요가생활체육교실놀면뭐하니(북구센터),지적장애,매주 수 13:30~14:30,"저희 요가 교실은 장애를 있으신 분들에게 요가교실을 통하여 기초체력 단련으로 균형성, 유연성, 지구력 향상과 심리적인 안정을 도모하고 자아존중감을 향상의 목표로 교실을 개설하게 되었습니다. ",20210322~20210326,00000000~00000000
